country,year_week,total_runners,distance,duration
Philippines,2020-1,30,9.838265625,61.678645833333334
Armenia,2020-1,3,12.005,62.454166666666666
Cayman Islands,2020-1,6,10.691461538461539,53.24871794871795
Switzerland,2020-1,197,12.116694312796207,65.81536334913112
Guernsey,2020-1,11,11.850966666666666,68.15722222222222
Chile,2020-1,83,11.529215596330276,63.94740061162079
Sweden,2020-1,221,11.58526887661142,61.481154082259046
Poland,2020-1,122,12.684632398753893,67.02403946002077
Uzbekistan,2020-1,1,5.18,40.0
Guatemala,2020-1,36,12.637362318840578,71.88478260869566
Russia,2020-1,234,11.599481802426343,67.0785095320624
China,2020-1,257,14.604943425076453,90.17601936799184
Latvia,2020-1,9,12.562875,67.72638888888889
Portugal,2020-1,65,12.13409493670886,65.13997890295359
Moldova,2020-1,5,14.758999999999999,76.52575757575757
Greece,2020-1,21,10.855,61.2625
Sudan,2020-1,2,19.23375,96.38125
Gibraltar,2020-1,2,8.38625,45.65
Costa Rica,2020-1,111,10.724408510638296,61.220000000000006
Romania,2020-1,14,13.24972972972973,74.53513513513514
Lebanon,2020-1,1,12.379999999999999,65.27083333333333
Venezuela,2020-1,23,12.226122807017545,92.2845029239766
Anguilla,2020-1,1,11.813333333333333,85.13333333333334
Spain,2020-1,361,11.935984009840098,63.08737187371874
Mexico,2020-1,233,10.895059642147118,62.729324055666
Ghana,2020-1,2,9.247142857142858,46.01904761904762
Argentina,2020-1,51,11.700722627737226,61.77761557177615
Tunisia,2020-1,3,16.27777777777778,82.70370370370371
Honduras,2020-1,2,10.0275,71.87083333333334
Barbados,2020-1,1,14.776666666666666,81.9888888888889
New Zealand,2020-1,41,11.648363636363637,72.97121212121212
Belarus,2020-1,16,11.881638888888888,68.68657407407407
Bahamas,2020-1,1,5.734999999999999,31.941666666666663
Jordan,2020-1,4,11.563636363636364,81.77424242424242
Belgium,2020-1,155,12.414002906976746,66.9266472868217
Morocco,2020-1,1,13.02,69.925
Italy,2020-1,382,12.043901895206242,65.49078409513191
Myanmar,2020-1,2,16.757142857142856,100.20952380952382
Japan,2020-1,616,12.952963647566236,76.07014787430684
Bosnia and Herzegovina,2020-1,3,10.731666666666667,65.78888888888889
Israel,2020-1,38,14.583116279069767,78.30465116279069
Jersey,2020-1,17,11.089211538461539,59.24423076923077
Nicaragua,2020-1,5,10.502307692307692,71.93076923076923
Isle of Man,2020-1,10,9.76808108108108,53.516216216216215
Nigeria,2020-1,12,10.812333333333333,66.39111111111112
United Kingdom,2020-1,5154,10.523222529526087,56.664340708626106
Ukraine,2020-1,74,11.541403141361256,63.726701570680625
Azerbaijan,2020-1,2,5.398571428571429,44.523809523809526
Turkey,2020-1,31,13.974636363636364,77.51912878787878
Netherlands,2020-1,603,12.011383738601824,65.17014944275583
Kazakhstan,2020-1,8,14.346,82.42166666666667
United Arab Emirates,2020-1,46,14.145196261682244,77.69392523364486
Bermuda,2020-1,4,9.109909090909092,51.55
Ivory Coast,2020-1,1,8.0195,54.008333333333326
Bahrain,2020-1,2,12.425999999999998,67.685
Uganda,2020-1,1,29.23,197.0
Lebanon,2020-2,1,14.54142857142857,78.1952380952381
Chile,2020-2,92,11.549048231511254,65.41484458735262
Egypt,2020-2,1,11.934000000000001,70.57000000000001
Nicaragua,2020-2,7,14.20556,93.71799999999999
Guernsey,2020-2,12,12.401880952380953,68.8781746031746
Thailand,2020-2,223,10.68673492063492,71.03185185185185
Spain,2020-2,399,11.545710833982854,59.441634190698885
Saudi Arabia,2020-2,5,10.586666666666668,59.90694444444444
Vietnam,2020-2,8,11.69995,89.68583333333333
Cayman Islands,2020-2,6,13.769047619047617,72.00634920634921
India,2020-2,92,12.42968284789644,75.67788565264294
Switzerland,2020-2,231,11.67002262443439,62.702237305178485
Isle of Man,2020-2,12,9.081212765957448,45.51063829787234
Andorra,2020-2,1,11.705,52.916666666666664
Nigeria,2020-2,11,12.90856818181818,80.0
Mauritius,2020-2,1,5.1,27.933333333333334
Brunei,2020-2,1,6.17,30.08333333333333
United Kingdom,2020-2,5493,10.419789594995061,56.012976072878935
China,2020-2,261,13.157838252656434,76.93980716253444
Ireland,2020-2,168,11.908878357030016,59.71598209583992
Lithuania,2020-2,12,13.813829787234043,69.35886524822695
Japan,2020-2,592,11.97410056818182,67.24049242424242
Guatemala,2020-2,45,12.129145038167938,70.88944020356234
Uganda,2020-2,1,6.748,41.733333333333334
Myanmar,2020-2,2,10.43,59.170512820512826
Finland,2020-2,41,12.930679389312978,72.10419847328244
Zimbabwe,2020-2,1,13.375,75.3375
